iter	Passed	Remaining
755	5171	1669
756	5179	1662
757	5186	1655
758	5193	1649
759	5200	1642
760	5207	1635
761	5213	1628
762	5220	1621
763	5227	1614
764	5234	1607
765	5241	1601
766	5248	1594
767	5255	1587
768	5263	1581
769	5270	1574
770	5277	1567
771	5284	1560
772	5291	1553
773	5298	1547
774	5305	1540
775	5312	1533
776	5319	1526
777	5326	1519
778	5333	1512
779	5339	1506
780	5346	1499
781	5353	1492
782	5360	1485
783	5367	1478
784	5374	1471
785	5381	1465
786	5388	1458
787	5395	1451
788	5402	1444
789	5409	1437
790	5416	1431
791	5422	1424
792	5428	1417
793	5435	1410
794	5441	1403
795	5448	1396
796	5455	1389
797	5462	1382
798	5469	1375
799	5476	1369
800	5484	1362
801	5491	1355
802	5498	1348
803	5505	1342
804	5512	1335
805	5518	1328
806	5525	1321
807	5532	1314
808	5538	1307
809	5545	1300
810	5552	1293
811	5559	1287
812	5566	1280
813	5573	1273
814	5580	1266
815	5586	1259
816	5597	1253
817	5604	1246
818	5611	1240
819	5617	1233
820	5625	1226
821	5632	1219
822	5638	1212
823	5646	1206
824	5653	1199
825	5660	1192
826	5668	1185
827	5675	1178
828	5681	1172
829	5690	1165
830	5698	1158
831	5705	1152
832	5720	1146
833	5726	1139
834	5733	1132
835	5740	1126
836	5747	1119
837	5754	1112
838	5761	1105
839	5768	1098
840	5775	1091
841	5782	1085
842	5790	1078
843	5797	1071
844	5804	1064
845	5811	1057
846	5818	1051
847	5825	1044
848	5832	1037
849	5840	1030
850	5847	1023
851	5854	1017
852	5862	1010
853	5869	1003
854	5876	996
855	5884	989
856	5891	983
857	5899	976
858	5906	969
859	5913	962
860	5920	955
861	5927	948
862	5934	942
863	5941	935
864	5948	928
865	5954	921
866	5961	914
867	5968	907
868	5974	900
869	5981	893
870	5987	886
871	5996	880
872	6002	873
873	6009	866
874	6015	859
875	6022	852
876	6029	845
877	6035	838
878	6042	831
879	6049	824
880	6056	818
881	6062	811
882	6069	804
883	6076	797
884	6083	790
885	6090	783
886	6097	776
887	6103	769
888	6110	762
889	6117	756
890	6125	749
891	6133	742
892	6139	735
893	6147	728
894	6153	721
895	6160	715
896	6166	708
897	6172	701
898	6179	694
899	6186	687
900	6192	680
901	6199	673
902	6205	666
903	6212	659
904	6219	652
905	6225	645
906	6232	639
907	6238	632
908	6245	625
909	6251	618
910	6257	611
911	6264	604
912	6270	597
913	6277	590
914	6284	583
915	6291	576
916	6298	570
917	6305	563
918	6312	556
919	6318	549
920	6325	542
921	6331	535
922	6338	528
923	6344	521
924	6351	514
925	6357	508
926	6363	501
927	6370	494
928	6377	487
929	6383	480
930	6390	473
931	6396	466
932	6403	459
933	6409	452
934	6415	446
935	6422	439
936	6428	432
937	6434	425
938	6441	418
939	6447	411
940	6454	404
941	6460	397
942	6467	390
943	6473	384
944	6480	377
945	6486	370
946	6492	363
947	6499	356
948	6505	349
949	6511	342
950	6518	335
951	6525	329
952	6531	322
953	6538	315
954	6544	308
955	6551	301
956	6557	294
957	6564	287
958	6570	280
959	6577	274
960	6583	267
961	6590	260
962	6596	253
963	6603	246
964	6609	239
965	6615	232
966	6622	225
967	6628	219
968	6635	212
969	6641	205
970	6647	198
971	6654	191
972	6660	184
973	6666	177
974	6673	171
975	6680	164
976	6686	157
977	6693	150
978	6699	143
979	6705	136
980	6712	130
981	6719	123
982	6725	116
983	6732	109
984	6738	102
985	6745	95
986	6751	88
987	6758	82
988	6764	75
989	6770	68
990	6777	61
991	6784	54
992	6791	47
993	6797	41
994	6804	34
995	6810	27
996	6817	20
997	6823	13
998	6829	6
999	6836	0
