iter	Passed	Remaining
594	3393	2309
595	3399	2304
596	3405	2299
597	3412	2294
598	3417	2287
599	3421	2281
600	3425	2274
601	3430	2267
602	3434	2261
603	3438	2254
604	3442	2247
605	3447	2241
606	3451	2234
607	3455	2227
608	3459	2221
609	3464	2214
610	3468	2208
611	3472	2201
612	3477	2195
613	3481	2188
614	3487	2182
615	3490	2176
616	3495	2169
617	3499	2163
618	3503	2156
619	3508	2150
620	3512	2143
621	3516	2137
622	3520	2130
623	3524	2123
624	3529	2117
625	3532	2110
626	3536	2104
627	3541	2097
628	3547	2092
629	3553	2087
630	3558	2081
631	3564	2075
632	3569	2069
633	3575	2063
634	3579	2057
635	3584	2051
636	3588	2045
637	3593	2038
638	3597	2032
639	3601	2025
640	3605	2019
641	3609	2012
642	3614	2006
643	3619	2000
644	3623	1994
645	3627	1987
646	3631	1981
647	3635	1975
648	3639	1968
649	3643	1961
650	3648	1955
651	3652	1949
652	3656	1943
653	3660	1936
654	3664	1930
655	3669	1924
656	3674	1918
657	3679	1912
658	3683	1905
659	3686	1899
660	3691	1893
661	3695	1886
662	3700	1880
663	3704	1874
664	3708	1868
665	3712	1862
666	3716	1855
667	3721	1849
668	3725	1843
669	3729	1836
670	3733	1830
671	3737	1824
672	3742	1818
673	3746	1812
674	3750	1805
675	3755	1800
676	3759	1793
677	3764	1787
678	3768	1781
679	3773	1775
680	3778	1769
681	3783	1764
682	3789	1758
683	3793	1752
684	3799	1747
685	3803	1740
686	3807	1734
687	3811	1728
688	3815	1722
689	3820	1716
690	3824	1710
691	3828	1703
692	3832	1697
693	3836	1691
694	3841	1685
695	3845	1679
696	3849	1673
697	3853	1667
698	3857	1660
699	3861	1655
700	3865	1648
701	3870	1642
702	3874	1636
703	3877	1630
704	3882	1624
705	3887	1618
706	3891	1612
707	3896	1606
708	3900	1600
709	3905	1595
710	3908	1588
711	3913	1582
712	3917	1576
713	3921	1570
714	3925	1564
715	3930	1558
716	3934	1552
717	3938	1546
718	3942	1540
719	3947	1535
720	3951	1529
721	3954	1522
722	3959	1516
723	3964	1511
724	3968	1505
725	3972	1499
726	3976	1493
727	3982	1487
728	3987	1482
729	3993	1476
730	3998	1471
731	4002	1465
732	4006	1459
733	4011	1453
734	4015	1447
735	4019	1441
736	4026	1436
737	4030	1430
738	4034	1424
